doc_id,name,type,text
34,Cyfluthrin,Insecticide,"Insecticide used to control cutworms, ants, silverfish, cockroaches, termites, grain beetles, weevils, mosquitoes, fleas, flies, corn earworms, tobacco budworm, codling moth, European corn borer, cabbageworm, loopers, armyworms, boll weevil, alfalfa weevil, Colorado potato beetle, and many others. Its primary agricultural uses have been for control of chewing and sucking insects on crops such as cotton, turf, ornamentals, hops, cereal, corn, deciduous fruit, peanuts, potatoes, and other vegetables. Cyfluthrin is also used in public health situations and for structural pest control. Cyfluthrin is the active ingredient in many insecticide products including Baythroid, Baythroid H, Attatox, Contur, Laser, Responsar, Solfac, Tempo and Tempo H. Cyfluthrin is highly toxic to bees with an LD50 of 0.037 mg/bee.  A Synthetic pyrethroid derivative that is used as an insecticide and a common household pesticide."
35,Cyhalothrin total,Insecticide,Synthetic pyrethroid
36,Cypermethrin,Insecticide,Cypermethrin is a synthetic pyrethroid used as an insecticide in large-scale commercial agricultural applications as well as in consumer products for domestic purposes. Lasts 2-8 weeks in the soil and unlikely to contaminate groundwater.
37,Diazinon,Insecticide,"In 1994 the EPA phased out the residential use of Diazinon and in 1988 cancelled the registration for use on golf courses and sod farms. It is currently used on rice, fruit trees, sugarcane, corn tobacco, potatoes, and other horticultural plants."
38,Dichlorvos,Insecticide,"An organophosphate insecticide used to control mushroom flies, aphids, spider mites, caterpillars, thrips, and white flies in fruit and vegetble crops. It is also fed to livestock to control botfuly larvae in manure as well as parasitic worm infections in humans, livestock and dogs. Many plants tolerate the pesticide very well and it is toxic to bees."
39,Dicofol,Insecticide,"A miticide used on  fruit, vegetable, ornamental and field crops. It id found to be non-toxic to honey bees"
40,Dieldrin,Insecticide,"Banned insecticide  as of 1987 and no longer produced in the US. used to control insects on cotton, corn and citrus crops. Used to control locusts and mosquitoes, as a wood preserve, and for termite control. (EPA)"
41,Diflubenzuron,Insecticide,"Insecticide used to control many leaf eating larvae of insects feeding on agricultural, forest and ornamental plants (e.g. gypsy moths, mosquito larvae, rust mites). Diflubenzuron is used primarily on cattle, citrus, cotton, mushrooms, ornamentals, standing water, forestry trees and in programs to control mosquito larvae and gypsy moth populations. (EPA) Insecticide used in controlling insect pests in forests and on field crops. It  inhibits the production of chitin used by an insect to build its exoskeleton."
42,Endosulfan I,Insecticide,"Controversial insecticide that is globally being phased out by mid 2012. Endosulfan has been used in agriculture around the world to control insect pests including whiteflys, aphids, leafhoppers, Colorado potato beetles and cabbage worms however it can negatively effect populations of beneficial insects and is moderately toxic to honey bees (Oregon State University). Endocrine disruptor and acutely neurotoxic to both insects and mammals."
43,Endosulfan II,Insecticide,Endosulfan metabolite
44,Endosulfan sulfate,Insecticide,Endosulfan metabolite
45,Esfenvalerate,Insecticide,"Insecticide used on a wide range of pests such as moths, flies, beetles, and other insects. It is used on vegetable crops, tree fruits, and nut crops. ""Esfenvalerate is also highly toxic to bees. The compound tends to repel bees for a day or two after application, causing bee visitations to drop during that time . Since most intoxicated bees die in the field before they can return to contaminate the hive, the brood is not exposed except by direct spray. Dried spray residues are not expected to pose a significant threat to bees"" (Asana XL Technical Bulletin. (no date). Du Pont Chemical Corp). Synthetic pyrethroid insecticide."
46,Fenpropathrin,Insecticide,Insecticide used in agriculture and on ornamentals. Used to control mites in fruits and vegetables.
47,Fenpyroximate,Insecticide,Acaricide used to control varroa mites.
48,Flonicamid,Insecticide,"Insecticide used to control hemipterous, or sucking insects such as aphids and whiteflies on fruit, cereal and root/tuber crops, by inhibiting feeding behavior. No honey bee toxity infromation is currently available for this insecticide."
49,Fluvalinate,Insecticide,Insecticide mainly used to treat honey bees for Varroa mites.
50,Imidacloprid,Insecticide,"The most widely used insecticide in the world to control beetles, fleas, aphids, stink bugs, termites, locusts, thrips, carpenter ants and cockroaches. It is one of the most toxic insecticides to honey bees (^ Suchail, Séverine; Guez, David; Belzunces, Luc P. (November 2011). ""Discrepancy between acute and chronic toxicity induced by imidacloprid and its metabolites in Apis mellifera"". Environmental Toxicology and Chemistry 20: 2482-2486.)"
51,Methoxyfenozide,Insecticide,Insecticide used to target lepidopterous insects (moths) causing premature molting. Not believed to be toxic to honey bees.
52,Methamidophos,Insecticide,"A highly active, systemic, residual organophosphate insecticide. It is used on crops such as broccoli, Brussel sprouts, cauliflower, grapes, celery, sugar beets, cotton, tobacco, and potatoes to protect them against aphids, flea beetles, worms, whiteflies, thrips, cabbage loopers, Colorado potato beetles, potato tubeworms, armyworms, mites,  and leafhoppers. Toxic to honey bees as one study found it greatly reduces  the foraging activity of bees for a prolonged period of time after application (Gary, N.E. and K. Lorenzen. 1989. Effect of Methamidophos on Honey Bees (Hymenoptera: Apidae) During Alfalfa Pollination. J. Econ. Entomol. 82(4): 1067-1072.)"
53,Methomyl,Inseticide,Broad spectrum insecticide used to control spiders and ticks  as well as applications to agricultural crops. It cosidered highly toxic to honey bees through direct contact and ingestion.
54,Paradichlorobenzene,Insecticide,"A fumigant insecticide used to control moths and moth larvae. In 2010, 30 known products on the market contained paradichlorobenzene according to the EPA. Hives can be fumigated with this chemical to stave off wax moth infestation."
55,Permethrin total,Insecticide,"The majority of permethrin, over 70%, is used in non-agricultural settings. It is used on many food and feed crops. A pyrethroid."
56,Phosmet,Insecticide,"Insecticide mainly used on apple trees for the control of codling moth it however used on other fruit crops and ornamentals and vines for aphids, suckers, mites and fruit flies control."
57,Pyridaben,Insecticide,"An insecticide applied to fruit and nut crops such as apples, pears and almonds. Per package instructions, the insecticide should not to be sprayed when honey bees are in close proximity to a treatment area as it is toxic to honey bees."
58,Tebufenozide,Insecticide,"Molt-inducing pesticide used on cabbage, cauliflower, beet, soybean, cotton, mealie, tea, tobacco and fruit trees. Found to be not acutely toxic to honey bees."
59,Thiacloprid,Insecticide,Neonicotinoid insecticide that is mainly for chewing insects
60,Thymol,Insecticide,"Used as an antifungal or anti fermentation agent in producing sugar syrup  and as an aromatic material for use against the Varroa mite in special evaporator frames. Essential oil, active ingredient in Apiguard."
61,Thiamethoxam,Insecticide,"Insecticide classified as a neonicatoid. Used to deter insect feeding from  aphids, thrips, beetles, centipedes, millipedes, sawflies, leaf miners, stem borers and termites."
